"HolderAddress","Quantity","PendingBalanceUpdate"
"0xe420a18a8fb5878efbaea538646bcf2da7529890","55","No"
"0xc9a89d9c2a39a6eb1ac221d5375b5ddc8cbb21f7","45","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","40","No"
"0x3d97ad12d40ea711d88b53680b3ae19aa5ec870d","37","No"
"0x4f95112f04d89a343cfa811468e1a063f018984c","36","No"
"0x6321f6344d7f4ceaa84cd77c058e3adf5c660db2","30","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","30","No"
"0x22703be75e5c6754c89ca32a8a43a864d919ce54","28","No"
"0xdfaf7a94b9298ba8c4b638ad85cbb83db9a61293","25","No"
"0xfcb11f4f6749dd517aaa9f38035fecc1fd91291d","16","No"
"0x25ea026ec746b43f7a73bd3632fd18d46178a90c","16","No"
"0x6047e101aaa9ab9b02fe5cbc1dd03c2c7c8516be","16","No"
"0xbd34811ef9e95b7aca114abd75217accf2dbbb2c","15","No"
"0x3fad44f892b986263ac69db971db8da172185387","14","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","12","No"
"0x60345b6a7a3c88c83dbbd5fed947c573f5a2bc7b","12","No"
"0xf503289ad06424adfe07b998cf775cad69c462a2","12","No"
"0x20e9d382b137dabe2fb5ee44a6d3a660e263430c","12","No"
"0x6f4514ee49c4e454fbe1e9ff2672369b98cc4d15","11","No"
"0xf9d03e4b72efde0a1536c573802f5daec00f8a31","11","No"
"0xc8c9771b59f9f217e8285889b9cdd7b9ddce0e86","11","No"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","11","No"
"0x2dfb5dc942280be73315cbab54b099c2541a0482","11","No"
"0x83d7699518cf8c97a3c17589de145d819fa41a3d","10","No"
"0x0b0c4248d5518b77f9fc8c6aab0a61c3377c956b","10","No"
"0x5dfa160e0f96ce631d28649d02bb7738d69fe761","10","No"
"0xcd46dee6e832e3ffa3fdc394b8dc673d6ca843dd","10","No"
"0x9ab596c93253d4f9a1c0064c830035e8f764ccc2","10","No"
"0x31dca74fbfb341f876ea185855bbd03ded959ff1","10","No"
"0x41b472b43e108bd6094f6ad001940350c926487a","10","No"
"0xc36751c53cf2db5e233c8eb5fba3002ae795f7dd","9","No"
"0x4347296e62b9214f8366a585aa29354286e29999","9","No"
"0x02f35c01fe546ea347defc3aefa3bb61de8538ed","8","No"
"0x63bbee1f3a5077f1aa37379c7f48c44ff5fcd7b1","8","No"
"0xb2ef468dd726aceb993e4d618637686b1d4daca2","8","No"
"0x9272227568d59326a9be3a2bebbc79c5eb2aff4a","8","No"
"0x50cbb4a5067112f89b4bc122a00aff174b6c037b","8","No"
"0x179677f33524358e3c146215054a4d27c644b7fc","7","No"
"0x01c12063b7b5b783a989a60af9f9f06534307a2d","7","No"
"0xc270b3a8428b222905c2564b0118fb4a0e10bb81","7","No"
"0x874df3dda021045f17542593e161c2c7366ae266","7","No"
"0xf24ea6adb290e4a3f5d0c5da53d328e78dff2789","7","No"
"0x2ae0c7bda14523fc6cc58d10150779517108f731","7","No"
"0xf7d0c52f291cade662d493d3ed7b0ab73528cb51","7","No"
"0x406415e58187ea8d0555b189e32f7a8e13d9ce86","7","No"
"0xdd765bbac6ba8e84b05a38a5ae8ae86d7cfe0b9c","7","No"
"0x21258055dfd7a287dcc224e3586210f1864c1996","6","No"
"0x61ed367b6ee785f68fc04502ce5f46ecda463253","6","No"
"0x0e4206b4118703740a14cbeddea58dd60fbda0af","6","No"
"0x715f280d07b7d98b00f7eef9e4ca62e9c5dff999","6","No"
"0xa42ad1fad4095eebd65356696aae43e50f712fb5","6","No"
"0xd41918072034dc5b871a2deb2072726a1c2d57de","6","No"
"0xd3480dba9a6e999c3b404d5858e76ed44eb31d4c","6","No"
"0x303425052e462dd0f3044aee17e1f5be9c7de783","6","No"
"0xee6319fedf83891d507adb801fe3321bc38f753f","5","No"
"0xd114b8e35b36e09f5d5cdbddf0d42f8d150b420e","5","No"
"0x78e0bc5322928704de27b2c4a54ef93f269c328f","5","No"
"0xb7707b8e88241e77064725099113896bed5c3ed0","5","No"
"0xd3e7183f85af100ebea219a8b831548360096639","5","No"
"0xb0b6fa4cdc2639b6d789e07c27709fd69e1c5868","5","No"
"0x36209cad56c31332d575bed3e989c988c2ad8eee","5","No"
"0x8ddd6263d5e012a5450df7dcf4fe3ebd5b8903fe","5","No"
"0x61e484b8ba9105f753fc20206e625c86b9ba6830","5","No"
"0xba7568be6f22b2e89291fb7c42aa0ed01d0232ce","5","No"
"0x5be1ad47a11e78bd78b66a1a41c855d899f8891b","5","No"
"0x0a7a29432241895997ce9ba9e450d68d971f77f9","5","No"
"0x74ebdf3efd2a85e34782fd28deef75ed13f20b0f","5","No"
"0xd17060803f2d4d3613b32f2f3d3d4db1c6fc3159","5","No"
"0x34d8034debd6c440c0ad64237861565f5ab321fd","5","No"
"0x1dd8a4eca9c9af43890493ac81ebed848f3a877d","5","No"
"0xa89c876be69223295a0925d7a62cb6868dec4ac8","5","No"
"0xf5d856113910e77fb02a07d15236907c6ee7395c","5","No"
"0x02f95d4f31a62dd754747e73689aae122fbe7682","5","No"
"0x34dbcfe2a1393de14b1d5c5acba99178c2bbfae5","5","No"
"0x5139c2d023c638a5f5190858b2ba4886873ed027","5","No"
"0x7ccf729486c74e7d4a94a0db1344410cc44a79db","4","No"
"0xf4642c1f9a9f59a6ab434ade9394f257e38ce515","4","No"
"0x4f1d5180c785969c64e41a5902c5616ba0285082","4","No"
"0x98ea82ac93165f77d69a4fd3243b121f1c56e4a8","4","No"
"0x322c4e98390b9c60889ba7faf18ad296f55f814f","4","No"
"0x700570ada3fefb97acb2388acaf425790b4f11a9","4","No"
"0x4391465fc8b412fdcee8798f58dd8c92b7be7944","4","No"
"0x06b02e983de7c5837962039b68c3e2954725639f","4","No"
"0x2fb280d0ebc21245b2c72c59b7d61e445d6659ce","4","No"
"0x5ea61c2d641faf0368deb0c0790dd6a4ee8b23ff","4","No"
"0x5e216cecb65e1e1b86fe8c46c730af287c4492dc","4","No"
"0xdf9bac2de42c32cb38f1fa0b33a0b5a195ba34ff","4","No"
"0xb258a4dbfdffaa0e2a607bc3bb8e5aef3022afa7","4","No"
"0xb5e8add227067bf3db9989686285919fb669b580","4","No"
"0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435","4","No"
"0x9ae71141fc380dfbc10cfb2765ebee14610ef7b7","4","No"
"0x466fa491b4b62b70e4840a3e7501cae3ae1cfa6d","4","No"
"0xcf66b406fa6dbddb75d516a21179e8b81cde2ec7","4","No"
"0x350d6f09d1edad94675c2a48ebac4d38955f5165","4","No"
"0xae996bf0a9d122ce1dddefe7732920b6c1539c29","4","No"
"0x0de50c0e0df8e7e5e7c31ad0b49b62623d613490","4","No"
