"HolderAddress","Quantity","PendingBalanceUpdate"
"0x95ee9e136f0d5eb6fb5b7b83bd09b35e21ba55f0","23","No"
"0xc8c9771b59f9f217e8285889b9cdd7b9ddce0e86","13","No"
"0x000000000000000000000000000000000000dead","12","No"
"0x8ac9dbd9c719806f0a48d7bc60d005ad0b18d35c","11","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","10","No"
"0xdd2ff37e55d94de3dbb1628393377b6ab1b76dfe","9","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","9","No"
"0xf4a93bd87468a0a1ede4a4de2ffd20dbdafeba1a","7","No"
"0x32cc2ec897f21a77a704e9a7313af6a640c47bb5","6","No"
"0x33a58b7a1f46aa945993302f0a7a812888c35dd4","6","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","5","No"
"0x8689653bc3b35381c07dc66940c0a098ad090dd2","5","No"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","5","No"
"0xb5e1532b054226d92913b40da22a01b7900ec96e","4","No"
"0xd6813048eaed9dc064fd08eeea408a7ec4df0021","4","No"
"0x01c12063b7b5b783a989a60af9f9f06534307a2d","3","No"
"0x04da9bd9feb3d363d539305eb9c042b59db6c9ab","3","No"
"0x06b02e983de7c5837962039b68c3e2954725639f","3","No"
"0x8c5de543ac865c0f651551ec49197ebb7768651e","3","No"
"0xa21b3cd198ec3ba865ce18ecba87ce12f5dea170","3","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","3","No"
"0xebd93a2611b0a35f722e79a4bf7f7f000c514a4d","3","No"
"0xf6f4b3d80884dcf2e602820622cafc1bcc1f9afe","3","No"
"0x0a7a29432241895997ce9ba9e450d68d971f77f9","2","No"
"0x0ac30ab1104760ab4f8979cf1e2f28970f280c92","2","No"
"0x0cec2b032c1690c4f3123991cc6eca101e811a55","2","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","2","No"
"0x199173d874c20c2c07c73e444a63d653d4eb037e","2","No"
"0x218869834ffacaeb6cfa48a3b6c92fa707f6c71e","2","No"
"0x2302e8505354918b9693cf3722b18ecc17910039","2","No"
"0x24bbd5892b7fd73f32b0e7f830e85febe82c2222","2","No"
"0x28521a5b7e439d3b0b8e13c5ca66de26cf6e756c","2","No"
"0x35b2095a0d31516acd5327218c4979be4b4a2207","2","No"
"0x3b2d09097d9fb9fd2aeb4e3462d69b586decec0b","2","No"
"0x495c2d503c16ed92c64cb3da3407afd6c2eabf02","2","No"
"0xb82eb1da53c5e394f8525c7d627dd03640d6bc97","2","No"
"0xc184867b6605083c8707404ce801688e21331815","2","No"
"0xcdb66d35a0d40cfbc70881c8936c5d1f4e40e789","2","No"
"0xd3775017a04a3ff7999b5cff7b475da8919e5484","2","No"
"0xe420a18a8fb5878efbaea538646bcf2da7529890","2","No"
"0xea524e3e4f7d7fd20aeca86ad6ecf83d8f55de1f","2","No"
"0xf817fcfc1118638fda5e8e97adce17142aeea284","2","No"
"0x0068f027e853947322684afcd8906fc10c34d04f","1","No"
"0x028922106555dd3909f7af0117062ffb6a16b9d8","1","No"
"0x02e0b414926c827b18b1f0b9adbe595ef6ffa080","1","No"
"0x049769e8506abf0a3f0c1b278cf33238c96122fa","1","No"
"0x05409486896cf7eef2d7110ad5640a5d594550f5","1","No"
"0x0578944c0cf5f70f360b8b6c5527669f7b804547","1","No"
"0x0595cc0e36af4d2e11b23cb446ed02eaea7f87fd","1","No"
"0x06074ff83c4240c554de83160e611007d66125d5","1","No"
"0x08f67b21c24badbb6e8117020c3846909ac3e65c","1","No"
"0x0b4ca05346cc31e2a4dc787070f7dab9340e7c8b","1","No"
"0x0b567a90bf36025ff20b9fa16b970e0e6fae26fb","1","No"
"0x0da47666a8311250c7fa713250a828307fe933fe","1","No"
"0x0f7a1e945b12867e17cfc077649e584de032e1d1","1","No"
"0x10585c1e61830349bf1a8a0a75945f627f9d03e2","1","No"
"0x1972560d3c113924df93dd2ac84bac702ff5e498","1","No"
"0x1bb740a96cc66633994791693a993d4bcd7ebad0","1","No"
"0x1c6f1a832e73949c97fe335a98b6a5fc3c9c29e9","1","No"
"0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3","1","No"
"0x1d5a57120a61fc8a24d1f56e9960adc80296299a","1","No"
"0x1f5d295778796a8b9f29600a585ab73d452acb1c","1","No"
"0x211f6a84aee392253d76407a4c59d0631ababe69","1","No"
"0x213f377c6ed4e2df4171bc5696340434b26013b2","1","No"
"0x214377906068c582fe474c70461d22ce898be7ea","1","No"
"0x2440b90e1f840f5426057fccf1a78afebbaf7f96","1","No"
"0x2457ceead67d1cb6a91eed3632c79a9063fc98b9","1","No"
"0x25a629ecd9211960e121548037064c780416a23d","1","No"
"0x25be6c9cbf3b8ddda767ba6a597f8e6d211fc224","1","No"
"0x25ea026ec746b43f7a73bd3632fd18d46178a90c","1","No"
"0x264c250d6e5dba99d99ed41ec4727e0ac3412be0","1","No"
"0x27524bff4423404f4b516367bd6a67c71876aa7d","1","No"
"0x28f1c7448530caf2b4afe482bf26fe3d76ebced8","1","No"
"0x29555549d22c6fb6f6d8dd81db4ded7b0fecb14c","1","No"
"0x2a54adc5a26ce16df2f654126bd27acba050e8dd","1","No"
"0x2ba2688e76da51d14b70f806617970be461f23e5","1","No"
"0x2d641a220ee8189c8da63e120e04709d10671ac4","1","No"
"0x31c5d1b340b46f8f8ee56c2e11bad73c2419dd3f","1","No"
"0x3236f8654b7d67799260613db81a4d1619c31d94","1","No"
"0x32918dbb0dad6c0e92ebc72f024a61fb8507277e","1","No"
"0x35c3d091e2cf902dc09ec25712d67c55e7c61403","1","No"
"0x35ebdce680ea2736873b712a12e89f8501120fa8","1","No"
"0x3673c68cf3bb69bc28d10dde689efb964d94162b","1","No"
"0x36e2af2f99e10a8aaf03154bec76bf6c8dbd571c","1","No"
"0x36e9c070578111f6a0d0ed0b648501084be30cf8","1","No"
"0x39b557a249706cac1dffe157ce5d25ff1791b56f","1","No"
"0x3a92f8dd28f6eeb4652849e38520af5ae69ec678","1","No"
"0x3e44b5df1a65e553c68bc613c74ef3b8c0fd27ec","1","No"
"0x3e8ff3ca60bcfca1a5df8e2b9f117c4506923940","1","No"
"0x3f475fd7f952469e688a4b96e11cd13c1b03ca03","1","No"
