"HolderAddress","Quantity","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","2003","No"
"0xbb6712a513c2d7f3e17a40d095a773c5d98574b2","185","No"
"0x604a060d8eaa48bf10ed99b6f643557d645dde82","177","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","153","No"
"0xdbb7be3af0bc13431c0f9f4ec42c082956fb4036","128","No"
"0xfcb11f4f6749dd517aaa9f38035fecc1fd91291d","126","No"
"0xbc91a632e78db7c74508ea26e91b266aa235f051","122","No"
"0xfee5b1baac86e15815ccd6ac891fe8ba1b90b7fd","121","No"
"0x95d41776812c6ca222dd5fdea56c065b55ff7655","101","No"
"0xa8095b86474d53dca0e0bcb1452a4da73090a205","93","No"
"0xb0d0b6da40e1b3abca12a38f5bd95793de935635","92","No"
"0xa83974be125d3fe4bed3f530798ef3f87ec21748","87","No"
"0xc46bfd225ad359f78c7fe84d50619977c6b7f318","79","No"
"0xdc5bb33e856db13ab6516abb1fa1bf96b1fcef35","78","No"
"0x08d2a85aed9f1c17b22bdafbc3fdf6b5f1dabce7","74","No"
"0xcc7ac869585106fb03911070a1eeb816f13d48d1","64","No"
"0x2e6b28fda29e5328acd9cadaf6b5900daf5cb576","63","No"
"0x6d361440dd4746387eff1ae65ddbfe891059e0ce","59","No"
"0x7299908540b9a9afac4872d839779eed481fa3c8","55","No"
"0x39b557a249706cac1dffe157ce5d25ff1791b56f","53","No"
"0x8a87378502745451f1d35497a39110d9e040e885","53","No"
"0xd784817ac75b0ba5592d7e29dc03cdd883c07e70","52","No"
"0x77384d1a96d72ff0ee887534011296d8037003ad","51","No"
"0x4b5c7beaa0f2dc46a9e573202964fbb162fcfcd1","50","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","47","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","45","No"
"0xae996bf0a9d122ce1dddefe7732920b6c1539c29","40","No"
"0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435","33","No"
"0xc24d5b145c21f570a38cbb95cfd8ebb923182732","31","No"
"0x28a3182325a294b2f9eb021e70a5f11e9437c4c5","31","No"
"0x4f1d5180c785969c64e41a5902c5616ba0285082","31","No"
"0x17e7f34a783012f212976b42b5648dabb479f8e1","31","No"
"0xd39aa8158e6d493f0d76ed37bb4b9185fcc2fb05","30","No"
"0xc2aa6dbf0a8d8193d6bc0e5f33f81ddf5aa5a082","30","No"
"0x2332432309fc5496a2602e0d848d207a8d93ed50","30","No"
"0xef74d09331557fb701b0380e808f44f00855dec1","30","No"
"0xf69b16aa5fdfa2142608932083830c4c49aa4de8","29","No"
"0xfcdff567626d45a60d8e0b223a74cc93dc8b0c6e","26","No"
"0x5802e0c5e3a0d87f9de0be710add41c54b4f1eb4","26","No"
"0x5597309b01efebc018b8bef9aef24a5ebcb199cb","25","No"
"0x10dc08c8b05c355e2523433de3616e9f5e2e0b51","25","No"
"0x3bda56ef07bf6f996f8e3defddde6c8109b7e7be","25","No"
"0x3622005b952b60adb71e59be2d35c9656c43caaf","25","No"
"0xe63ba03f3399ccdbc346977482920c7f782649b9","24","No"
"0x33a58b7a1f46aa945993302f0a7a812888c35dd4","24","No"
"0x969a9d4af63d05e56b2967905493ca602a9e08cf","24","No"
"0x3f990c647664a1e502fc36f8dcaa8c650e7d771a","24","No"
"0x78235d7b68d7650bedfcc1b051a178fe3ef67115","23","No"
"0x5e2889eb037aeac4f64fbb9856514f6dfebada63","23","No"
"0x3d97ad12d40ea711d88b53680b3ae19aa5ec870d","23","No"
"0x20e7bfeef1d38899ec88124829dd34e711c1e26c","22","No"
"0x0595cc0e36af4d2e11b23cb446ed02eaea7f87fd","22","No"
"0x28521a5b7e439d3b0b8e13c5ca66de26cf6e756c","22","No"
"0x86b82972282dd22348374bc63fd21620f7ed847b","21","No"
"0xb2b6b71d3200bd3558a59d7cc29e36c3446187ae","21","No"
"0x93ca1574f8c8a5939766da7c218539fe46368f43","21","No"
"0x8f27f4d10f6bb43e1446d20c10302edb2123d613","21","No"
"0x59b21cbdecc7ad4df845da080b6f7091fd22e77b","21","No"
"0x45f037560374a81c1efa077674406e2ac5175fa1","20","No"
"0x7bcba9296df0a11afac47881e9c08b40371ba008","20","No"
"0x7e41e492351e46ce82dfd0d373e6e519a02f9a69","20","No"
"0x189ecebfa5d3c5ea82d5172b1069c3305a0a149a","20","No"
"0x2247f0e6977705bd803647e5c98b5e92325d3263","20","No"
"0x82ee15e7c0c923e512eb0c554a50e08254ebd660","20","No"
"0xa2ebd97892502847061fe611efd5e289dbfa0703","20","No"
"0x4dbd3f2fc7bdffe2657f8916ad05eaca21344d38","19","No"
"0x3abf901f3e0bd6b87a48b7ef9171d474364f1716","19","No"
"0x3991b2303bf6e77919018ffec0526712e7f7b3ce","19","No"
"0x194d72ced0d719c34d7b4c2fd203504c093446d7","19","No"
"0x5dfa160e0f96ce631d28649d02bb7738d69fe761","18","No"
"0x874df3dda021045f17542593e161c2c7366ae266","18","No"
"0x2964d617fd62994a65102c82dde82ae46d7503ff","18","No"
"0xd1510e4d4263cdc50dd39a5d18d4c676fe4b0aa5","18","No"
"0xe522304039b02dd2974a5f54fa21b1e29ae7db16","18","No"
"0xca148fa49a8e68d44a924c8d8200fd48a20d6860","18","No"
"0x035acbf50b8e269461b7ad46b1e86cad6db01016","18","No"
"0x291199b12372b410e908d86d8a87a5cc15062c99","18","No"
"0x7e0b7f59c2a04d2a9129688fd96b83d1a8126840","18","No"
"0x0e124a7c9b378d7276590b6b8b676a75ff923a03","17","No"
"0xee3ab20b766eae862476bb318ba71e4a4f91898c","17","No"
"0x2c01251d6cee319aacb399d39ac50645444c6812","17","No"
"0x139fde7c955c8d20bbf61386259d8e84cd59feaf","17","No"
"0xa04c769a7415ee8d6715a2e4f5e0e76167fd48a9","16","No"
"0x76d87a1bba52aa71d7fc271d4a9088b79bd9be1e","16","No"
"0x15109f7f8ac81710daec2bc9296c4bab677b6820","15","No"
"0x503d66ea74445af5e9ada4005f3826591f10b98e","15","No"
"0x62dad688ca940162eb7996c0c5badb7245fce92f","15","No"
"0x6b6ca48da27304eeeb1d15d355d948f68b852733","15","No"
