"HolderAddress","Quantity","PendingBalanceUpdate"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","177","No"
"0xff76aec6a91003efd97eb8e2d3ecc7dfe46d347c","136","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","92","No"
"0xa9d1f0b36e98e7dc14afa10c35b20296bc71e242","85","No"
"0x45f037560374a81c1efa077674406e2ac5175fa1","84","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","82","No"
"0x94f4314919a5303e94ee255dc6aa88d5fe84eb0d","80","No"
"0x5bb1c47bddbe6f94d4368190930aea528a18157f","77","No"
"0x93664df1ec8d29b801419d178f9aec0de59fbb26","75","No"
"0x2e6b28fda29e5328acd9cadaf6b5900daf5cb576","55","No"
"0x46ed3e4ce79e0b0634ccb03032829c076ad2a76a","54","No"
"0xbb6712a513c2d7f3e17a40d095a773c5d98574b2","51","No"
"0xb0d0b6da40e1b3abca12a38f5bd95793de935635","50","No"
"0x4b5c7beaa0f2dc46a9e573202964fbb162fcfcd1","49","No"
"0x874df3dda021045f17542593e161c2c7366ae266","47","No"
"0x3b12bfc36931155a8dc26c6636d0c888e9a3f55c","41","No"
"0x016ab691721a99da1c1489ca0ac8b549eb0f7713","38","No"
"0x903103ef92b5c227d6f3e6eab4311b6d7460f134","38","No"
"0x01e4e2336c28def39c58098893d8ad84b9f1b9c7","36","No"
"0x311ed1cf86f9e0ec691d4ccbd503a3b42d8c4795","36","No"
"0xbfbf0df4f7da7429d523fb7b6ecbdc8b817b9b54","35","No"
"0xc87723ed7c8942619a7b6fac34152c7c3c790525","33","No"
"0xdf2d3dd3b5d943cd9222956a3d75fa7037598bcf","31","No"
"0x2332432309fc5496a2602e0d848d207a8d93ed50","29","No"
"0xdc5bb33e856db13ab6516abb1fa1bf96b1fcef35","29","No"
"0xf807967e9adc0400c2465f0cf7104494871fc653","27","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","25","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","25","No"
"0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282","25","No"
"0x0e719677cb5679ff07858f58bfd6fe2a8234863c","25","No"
"0x096e182e1e574a63324eac77a12ba0ae6f4a5e1a","25","No"
"0x1c6f1a832e73949c97fe335a98b6a5fc3c9c29e9","23","No"
"0x0c23a02973d23c3adb9dbca548f7b37b6d958860","23","No"
"0x156841b0541f11522656a8fa6d0542b737754e8e","23","No"
"0xde12bc577b2ed3a2cd542ce8f0adeb37c9b59992","22","No"
"0x3bda56ef07bf6f996f8e3defddde6c8109b7e7be","22","No"
"0x6b285532d2ab9850dd82c2bbab90f80b65d718c7","22","No"
"0x3a27a89d203fdd6f241c43b4ccc667dff10f32a6","21","No"
"0x3341214af49039a358efba89a9fac1910dfd9f86","21","No"
"0x1b8d42f0451bc9077e58b1681abd874f174f376c","20","No"
"0xae996bf0a9d122ce1dddefe7732920b6c1539c29","20","No"
"0xc0310c9c1edacc38791a66cdecc82beedda3d147","19","No"
"0x5139c2d023c638a5f5190858b2ba4886873ed027","18","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","18","No"
"0xf18183b66dafaf1f69dc10db28728bf17a586e2e","18","No"
"0xa95db414db4f68c4cd3c0e09b80b7bdbe542537a","18","No"
"0x4775ce7442e18d476535b0f6b58a4375dd64b609","17","No"
"0x5dfa160e0f96ce631d28649d02bb7738d69fe761","17","No"
"0xbcca383e7be60f9300469e32ec1d1b5af73bfa0e","17","No"
"0x30967a7eac407221b57736f5258d7874853eda65","17","No"
"0x5140780e32d84a3ddf2febe31ffa0741c1a515e1","17","No"
"0x62dad688ca940162eb7996c0c5badb7245fce92f","16","No"
"0xcbcf161f0b53e534a77989d83a89cbc9d66fd1b9","16","No"
"0x65ccff5cfc0e080cdd4bb29bc66a3f71153382a2","16","No"
"0xa89c876be69223295a0925d7a62cb6868dec4ac8","16","No"
"0xa0977eac7f13bd5ba30c43ed45e86074aeb9c178","16","No"
"0x1de989ddf4e3785a91d7545f6873af9e61c47dff","15","No"
"0x85838816b9330b9eb2f989c55454d280da1da60e","15","No"
