"HolderAddress","Quantity","PendingBalanceUpdate"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","519","No"
"0xff76aec6a91003efd97eb8e2d3ecc7dfe46d347c","189","No"
"0x4a4d944301507a175824de2dae490e9aeca5c347","177","No"
"0x1dd50940e8a52ae46d8d4953922ff204a3e8a698","80","No"
"0x7d32184150b6f100f3bc8c5b938838be5435fe3b","68","No"
"0x5e05a68e939e4e9dfa93eb400e9f85e59916ed8b","67","No"
"0x46ed3e4ce79e0b0634ccb03032829c076ad2a76a","57","No"
"0xb84f8b0ab8b322045bb311689f3533ed99f4f246","51","No"
"0x6b08770fc5804862217ffccd03a468a83965914e","45","No"
"0x2e6b28fda29e5328acd9cadaf6b5900daf5cb576","40","No"
"0x3b12bfc36931155a8dc26c6636d0c888e9a3f55c","38","No"
"0x77bac8bc894ca3afee59ab1766812ab78bcdb64b","38","No"
"0x32cc2ec897f21a77a704e9a7313af6a640c47bb5","33","No"
"0xbfbf0df4f7da7429d523fb7b6ecbdc8b817b9b54","32","No"
"0xed47a1ad6d88cac2bba469df1ea149034cba63b6","31","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","30","No"
"0x12c1c7e9892ef6e2e1dba4c3851dbeb8cf016638","29","No"
"0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435","28","No"
"0x1701f10ea16e95648e3450488e1e2da9102774e5","27","No"
"0x91d674cbcc25cec8cfd7ea1f93bd58ccaec45bdd","26","No"
"0x096e182e1e574a63324eac77a12ba0ae6f4a5e1a","26","No"
"0xf20123041e29c3371eeb5a720c3664c31f5db8af","24","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","23","No"
"0xc46bfd225ad359f78c7fe84d50619977c6b7f318","23","No"
"0xa0bf5b240634918c70d4ec9384dbd0111ef40b42","21","No"
"0x058a9bbaa8e8e4dbd3defb383aee69d617e83d6a","21","No"
"0x5c82185a70b321e54e2938f3a2abef2639e0e646","21","No"
"0xfcb11f4f6749dd517aaa9f38035fecc1fd91291d","20","No"
"0x06636ffd74a165eb99538d8bde0aa1a407d94afe","20","No"
"0xf97664376416e9379f2354db444bfe3f00b6936b","19","No"
"0xc174e63eeebe94e27266926a34accff7b84c6bb7","19","No"
"0xfb18b47076b456cb6855d70a29cb912e8ffdd974","19","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","18","No"
"0x08d92949e010a06f528a55a32b3ebd9d910ee0cb","18","No"
"0xbcfd27639e8a3b47118439773ac35de7d6801ac2","17","No"
"0x5c13deb7c872a1e9498c8e8f610ec1d0276ed94d","17","No"
"0x369e330eadd29a3f48663b38b1607b27b9e5dfeb","17","No"
"0xeb7a12fe169c98748eb20ce8286eaccf4876643b","16","No"
"0x3e847015084b182dd47aad0e95e005c51e1fe715","16","No"
"0xcb1ce445d01d0bcd07236a77c895e09c3abe3b34","15","No"
"0xf561f98c2a149a5d8fe1dc2a6c79dd0a58782bc2","15","No"
"0x979ddbf4ef2240b316c73c5b7cdab0a453b101aa","15","No"
"0xbc4e7c5d71e9c4404377b0cf22ec9e5391332d09","14","No"
"0x3d97ad12d40ea711d88b53680b3ae19aa5ec870d","14","No"
"0xc146375b4271b1c6a13eb3d2325fa99a9db89407","14","No"
"0x7d479d00712d65f4849a711da4864843cebf83ae","14","No"
"0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe","13","No"
"0x2a578a939bdc5486fa8c4f0ef865b71cca03ab7a","13","No"
"0x61bfc365ec9d56b7d0a60a2dd5ca07ad5fb59fba","13","No"
"0x035acbf50b8e269461b7ad46b1e86cad6db01016","13","No"
"0xd1510e4d4263cdc50dd39a5d18d4c676fe4b0aa5","13","No"
"0xa9d1f0b36e98e7dc14afa10c35b20296bc71e242","12","No"
"0xb88f61e6fbda83fbfffabe364112137480398018","12","No"
"0x814bb30337d8ec10d64b2a19c23db2531990ffc9","12","No"
"0x2d34fba326c3a3e7af99c2bd001195e8a0ffd373","12","No"
"0xd216b10a9e454d4df64504af8b1498a70d6f09b9","11","No"
"0xdbbbf7f45c740d99e5e7475dfb8a7dddb61a6466","11","No"
"0x15a4c23e7e405cc6794ae10782042aea9d7ea959","11","No"
"0x259478c08bdf4224a87f9420951d20df731131cf","10","No"
"0x7bcba9296df0a11afac47881e9c08b40371ba008","10","No"
"0x40d336b5e8fa5acef13761c22de4a17b11d7121f","10","No"
"0x0920c2148cacc810fe7b16b04055ca2e31950d11","10","No"
"0x5802e0c5e3a0d87f9de0be710add41c54b4f1eb4","10","No"
"0xd1abe5db14d073883f2084c2af105652102bdefc","10","No"
"0xedcdbf20e591e960169709f6f74a93f6e56523e4","10","No"
"0x59f02451e0199bc997554b89c6e1041bf8f4614e","9","No"
"0x194a55cd4c58a01eac8ff299470010764c8697d6","9","No"
"0x9efe71a20f30e636c8ffc0f6a502026d68ff4442","9","No"
"0x40e2e1f240d8f642703f7bd3e4914405f5159068","8","No"
"0xdc2833bdcb68820dd8270714fe3056012f4b40d0","8","No"
"0x7370fcac7a6ff6911965389661267efb05547bd2","8","No"
"0xaede1f30b4a094da197538f61a45fdfeac17553b","8","No"
"0xc4ba8f21c0dd755cfeff899c4f791c634ca5c6db","8","No"
"0x9cf5dec27768855d478152128851ebde74f6a3ed","8","No"
"0x4d3c9a0ab4137391251e937a62129b825bdb21c1","8","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","8","No"
"0x99dc51c56c2545cfa5d3052ff945d8dffea82f02","8","No"
"0xb424d0a3023a3036c8ffab075f9453d604fa8f03","8","No"
"0x01c12063b7b5b783a989a60af9f9f06534307a2d","8","No"
"0x4955fa037da47ecbbb3aa7e3e276ed6f6cb76603","8","No"
"0x75393e08de4b3dd7e9d5e5065cb9d6be36354f1b","8","No"
"0x368993ccaac83c863a42569420682df14d8fec4a","8","No"
"0xe8cc9052ced3383dd959912b49333388c62d4df2","8","No"
"0x2caf4b885350a767e85f9fe835ae8530dea738f3","8","No"
"0xf656263bc43c5d82d8fb2c738343baf3e5ad08dd","8","No"
"0x965b0b76b3d858d33dc569e455ba80207ae958e7","7","No"
"0x02c545e7e16afbbe405fad98a8a5a9a9feece114","7","No"
"0x0481ac68cc3cb70f71c537c9cc14a6ddc29881b1","7","No"
"0x106ec5fd0d629ad1e9135dd4eea4dbcae969d057","7","No"
"0x62c6e060ea69b7c6d145b73bc834ede9a1b7eed8","7","No"
"0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3","7","No"
"0x9b983db1389b9e3dfce6219ef0dc3a2139475924","7","No"
"0xb0d0b6da40e1b3abca12a38f5bd95793de935635","6","No"
"0xd39aa8158e6d493f0d76ed37bb4b9185fcc2fb05","6","No"
"0x9568ef803d55005ad31ff6cd14924b5e0172dd9f","6","No"
"0xb5ac74c7af505f17b289972467826d184ba1e02e","6","No"
"0x949710d6ff4d3d8030694b5582126bad57250066","6","No"
"0x2d3f495f0e2370a68b60cebb4406cbc0be3d2145","6","No"
"0xfd2fe2f3f03b754392819888943df5d5ac8b6a82","6","No"
"0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282","6","No"
"0x5fb8b9512684d451d4e585a1a0aabfb48a253c67","6","No"
"0x10d094bbff45b68f0b5261dc84cc724908bdea33","6","No"
"0x00e952276c03e71b7b6193a67ace9b3e60546042","6","No"
"0xf24ea6adb290e4a3f5d0c5da53d328e78dff2789","6","No"
"0xd1d6bf2b014f0f2c53a54515d11e2d72d89b61b4","6","No"
"0x68bdeff9aca67da30ad7e78feacb3685a5c0863f","6","No"
"0x0c23a02973d23c3adb9dbca548f7b37b6d958860","6","No"
"0x30e6315a39af5893090433bf21c64b546768ecd8","6","No"
"0x903103ef92b5c227d6f3e6eab4311b6d7460f134","6","No"
"0x20e98169bb048355005836132c791a88f4146940","6","No"
"0x188cb2068b02402f6dbb9cc7d6f9a0ab8c78637c","6","No"
"0xbb1f834ba7c03e1d48e12b4a05916b8fb1983f20","6","No"
"0x964ce00a4336283f8ffbb90dcfaeb3861af6dd08","6","No"
"0xd080fa8d8adab0767e46e5270112a15cd2810bf9","6","No"
"0x15eafc29816b34fb8b15dc6727a26de4c4cb2df0","6","No"
"0x607ccb4817519f93b2ddfcf2fffcc2eff82b83b1","6","No"
"0xbd336b75d1beed3c33296292c5ef1057fd5d3b47","6","No"
"0xec080dbee8f60c8e6d7c3f52e10832718d2b8d5a","5","No"
"0x4b5c7beaa0f2dc46a9e573202964fbb162fcfcd1","5","No"
"0xb08f95dbc639621dbaf48a472ae8fce0f6f56a6e","5","No"
"0x445469b857d64fa63ae7d3af5ee8d66e29b6d443","5","No"
"0xb1bd944671f52699af38e758791f520a60020b11","5","No"
"0x0ee01fd0bdb6b449cf343ecafa7116be49b5286a","5","No"
"0xb11b38a7c3fdb1a151050dd13e62ec63c611ab47","5","No"
"0xeb215e8aa26f62853ab0872c8b5caf2585f41e48","5","No"
"0x42e2564f90ecfe0f9f72322740679b76fe56ea15","5","No"
"0xcd4ddf2aed875248d6d586b57146858a71eafc02","5","No"
"0x6a32c7e7391a3e839a6058bb24bb0c091fbb84ce","5","No"
"0x35d2fc24a1d8b6dc019ee4e0e382ce4d394b010e","5","No"
"0xbcca383e7be60f9300469e32ec1d1b5af73bfa0e","5","No"
"0xbaeef83048902fc3a1cfd0a2eae13a86d5ca88ae","5","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","5","No"
"0x3f26d1fbca12c19c9023e7e66f69a3c0c5524d47","5","No"
"0xcb6b63cab98f8085a1283900d82aa8ff5544a423","5","No"
"0x30967a7eac407221b57736f5258d7874853eda65","5","No"
"0xf0739d4bf7cf465e152d066deb86ee93fc598bd0","5","No"
"0xd04b3f8805b0f31b952400130677e006846d4746","5","No"
"0x03251ae9065a02d50230e02b137265157e101c20","5","No"
"0x08eea074e18321bcdf3a2a93e987d74ef9d80400","5","No"
"0x3ab897e1bb140319165a1c4435546365019ffcf3","5","No"
"0x268ba934067a0df1b21401af6bb09d1756b0d938","5","No"
"0x7e3de32b65ccae9233ad666f5f7b2872ef37fa09","5","No"
"0xd4681a1176830427366d2fec84aaf5f04beab2e8","5","No"
"0xc73af9d540180231a59d6955a735a1f95b611f87","5","No"
"0xdc7b757d7df696b3002c4681c6e48fb5e833ae88","5","No"
"0xc3592d5eb271e72a77d1af9f407cc7b4a2c8d898","5","No"
"0x3622005b952b60adb71e59be2d35c9656c43caaf","5","No"
"0x911c990d3a12d7ae5ab9c9ebc3a614a2e0289aa4","5","No"
"0xdc5bb33e856db13ab6516abb1fa1bf96b1fcef35","5","No"
"0x640d1fa82889793aaf04e6c665e8f3a87fefa7d4","5","No"
"0xd11665e84abbade1b35cbbb4a2e804c007369a76","4","No"
