"HolderAddress","Quantity","PendingBalanceUpdate"
"0xc835d6a8473d4e4f6807a9192b8d90c694a2021f","94","No"
"0xcfcd2a0b70bec43945a3860816039063d8c3061c","38","No"
"0x6cb1697fe884570681eda5e4bc73b6cbdea1c61c","31","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","28","No"
"0x0da47666a8311250c7fa713250a828307fe933fe","27","No"
"0x2ae0c7bda14523fc6cc58d10150779517108f731","24","No"
"0x019f75232e0eeef4010c4c312d95d63bc00fbd2c","23","No"
"0xbfc016652a6708b20ae850ee92d2ea23cca5f31a","21","No"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","21","No"
"0x2e6b28fda29e5328acd9cadaf6b5900daf5cb576","20","No"
"0xd1510e4d4263cdc50dd39a5d18d4c676fe4b0aa5","20","No"
"0x22b98bd46a95ba46a7d53845b3ff252c15b5870f","20","No"
"0xb7b7becd9789d81cba78a6e1ccc832935b910bf5","20","No"
"0x32918dbb0dad6c0e92ebc72f024a61fb8507277e","17","No"
"0x10e228988e20c51c7d02e5018e31c47822507ad1","17","No"
"0xfcdff567626d45a60d8e0b223a74cc93dc8b0c6e","17","No"
"0x1ac08405e96e3561893eef86f194acdb9a24d38d","16","No"
"0x5139c2d023c638a5f5190858b2ba4886873ed027","16","No"
"0x690892db2fa439a703115d36e4205088e0c55d1a","15","No"
"0xba0cdafe3a4b78da70e43815a1e996fbe097f533","15","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","15","No"
"0xc7119d682728894f5f76b909a43040e33ac6d651","13","No"
"0xeb7a12fe169c98748eb20ce8286eaccf4876643b","12","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","12","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","12","No"
"0x28521a5b7e439d3b0b8e13c5ca66de26cf6e756c","10","No"
"0x13c6a19ccd443372c3ce86bc57887ee06ebaea70","10","No"
"0xdf2d3dd3b5d943cd9222956a3d75fa7037598bcf","10","No"
"0x016ab691721a99da1c1489ca0ac8b549eb0f7713","8","No"
"0xc8c9771b59f9f217e8285889b9cdd7b9ddce0e86","8","No"
"0xd75337cef33ace428a18533a1fb791acb1eff239","8","No"
"0x37b468e1d4616d6aa7f8584407a0981cfa46e99f","8","No"
"0xf7d0c52f291cade662d493d3ed7b0ab73528cb51","8","No"
"0x2d641a220ee8189c8da63e120e04709d10671ac4","8","No"
"0x199173d874c20c2c07c73e444a63d653d4eb037e","8","No"
"0x0153b3ca18df4f55f0801c2da9e266a085531d7c","7","No"
"0xbee02128e8364972d704f9f3bc267c54855f6642","7","No"
"0xf24ea6adb290e4a3f5d0c5da53d328e78dff2789","7","No"
"0x67d21ebd269d61ef8cd9f0f3698869b3d818a4b5","7","No"
"0x4365dab1348d97c971ec7e126f52333da1665492","7","No"
"0x86b82972282dd22348374bc63fd21620f7ed847b","7","No"
"0x34606e4d14bfda85c5f8314931c833755fb964df","7","No"
"0xfc6bbf4763845e3fe68cad2368f9e1b45f231d32","7","No"
"0x71cb724ce2bfe95a34ea7578d80d871dad595678","7","No"
"0x5fb51fa911604f8aaacee1231620e028be369b1d","7","No"
"0x9128a39fdb22de4ce3594e2e2e8edd7bd9aba987","6","No"
"0x6b6ca48da27304eeeb1d15d355d948f68b852733","6","No"
"0x700570ada3fefb97acb2388acaf425790b4f11a9","6","No"
"0x501e9987bbf5140dab604f01c7f013aba6dd22b0","6","No"
"0x2ba2688e76da51d14b70f806617970be461f23e5","6","No"
"0x88382063b0c4efa6ca3cfa447fbaba6936f5c3db","6","No"
"0x2dfb5dc942280be73315cbab54b099c2541a0482","6","No"
"0x4b5c7beaa0f2dc46a9e573202964fbb162fcfcd1","6","No"
"0x528358b0630d0594ed2858b308e68511aa365bef","6","No"
"0x5802e0c5e3a0d87f9de0be710add41c54b4f1eb4","6","No"
"0x802d54e97066ef105fe34e39d2a49d289d49b61e","6","No"
"0x82ee15e7c0c923e512eb0c554a50e08254ebd660","6","No"
"0xeb5a30fed561d579d6ed8fca4bd5d9cb2ab14af8","6","No"
"0xd537413a3651fe87443526c38977b9ce86448696","6","No"
"0x0ee01fd0bdb6b449cf343ecafa7116be49b5286a","5","No"
"0xf3edbde6fdf7389021672f61dd79cb904aa36392","5","No"
"0x64163b7f5558c54c2494fe18e09ba8ee2ec7bc8a","5","No"
"0xc98d8c153fcf66955a44b4678255ba2174f71e05","5","No"
"0x70c8327e83f602283b2dd107929e0050a5c50c20","5","No"
"0x3a6154998397441c7da755e93eecc2f2460be365","5","No"
"0xdfaf7a94b9298ba8c4b638ad85cbb83db9a61293","5","No"
"0x2302e8505354918b9693cf3722b18ecc17910039","5","No"
"0x961c7edeb9e4eca3f0da70223f9108017c84fe71","5","No"
"0x7aa45715eccf0b2713ca11fb1d806c64406eb733","5","No"
"0xdc5bb33e856db13ab6516abb1fa1bf96b1fcef35","5","No"
"0x02f95d4f31a62dd754747e73689aae122fbe7682","5","No"
"0xfb18b47076b456cb6855d70a29cb912e8ffdd974","5","No"
"0x98011a7b0795f456ffce7c988369f1149e8aeba2","4","No"
"0xc4e4984e243f2b833e31513ed4a5025922922d61","4","No"
"0xee61b0d50d96d4249ae0e12756edc199bbb7d070","4","No"
"0xda2c0838e3da5f5aadff1d44cad67f5249eda5f9","4","No"
"0xe420a18a8fb5878efbaea538646bcf2da7529890","4","No"
"0x32cc2ec897f21a77a704e9a7313af6a640c47bb5","4","No"
"0x60345b6a7a3c88c83dbbd5fed947c573f5a2bc7b","4","No"
"0x5dfa160e0f96ce631d28649d02bb7738d69fe761","4","No"
"0x2352bc53d5af67223f165a5dd98e79ab424171f1","4","No"
"0x247db348044753073d6764db503945148b1be554","4","No"
"0x224da03f2e9ef7b84b6bd6f62de6f9e399eac20e","4","No"
"0x86b1abe842b5d9d30dc450a3e354ee54548a187d","4","No"
"0x1555177f50f32245d8d6ee4650357736eccf9856","4","No"
"0x19c25885435292501b5e61cffca2855fb6b2533f","4","No"
"0x7166c092902a0345d9124d90c7fea75450e3e5b6","4","No"
"0x0c451fbbd31cf10b5dedd357acb589d13d1177cb","4","No"
"0xda1d4bd894709dbd9a140c05bdaedd19afe7fb00","4","No"
"0x130c6664b088e95427ff8a897b601996d5ea69b7","4","No"
"0x4a4d944301507a175824de2dae490e9aeca5c347","4","No"
"0xef66c6f2655448b621808ce9369a8c0c346f5447","4","No"
"0x9a659894e5d115846767db0e1685744c452e7a6e","4","No"
"0x96ce38ace922b2218da423ee4b5ee46053000cb7","4","No"
"0x01c12063b7b5b783a989a60af9f9f06534307a2d","4","No"
"0xaa8528fc9e8f7e0cf72292cbeba4557dc7aae2e1","4","No"
"0x8a87378502745451f1d35497a39110d9e040e885","4","No"
