"HolderAddress","Quantity","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","66","No"
"0x91364516d3cad16e1666261dbdbb39c881dbe9ee","12","No"
"0x25ea026ec746b43f7a73bd3632fd18d46178a90c","6","No"
"0x378fa8aadf41be68ef61fc8582495fa4c89e44c4","6","No"
"0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596","5","No"
"0x218e751ae17887e9ba49724bf38b59ec3551e7a5","4","No"
"0x616639958996ea8b33d3c38accc2e845735dbdb0","3","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","3","No"
"0x00000000009ab7557372c87b5ad60912fed19f0d","2","No"
"0x1f3eb4bb676d707803ec40be73e8e9c35267622d","2","No"
"0x139fde7c955c8d20bbf61386259d8e84cd59feaf","2","No"
"0x7964929ecbaf3f9704edcd6120126f6e85900883","2","No"
"0x83473d9d09829cfb35ced2dc25df0d1a0c27d2cd","2","No"
"0xae9fac86cdb1cf62d2b3649036b75be76565180e","2","No"
"0xf4b465db2f7e39e702324225be51ee60f0f5796a","2","No"
"0xf5a259f123a766840c489b67af07692dff23e3a4","2","No"
"0x22b98bd46a95ba46a7d53845b3ff252c15b5870f","1","No"
"0x2756f0eef356bc1c4feebf7b6bd6e3374b693cb6","1","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","1","No"
"0x4a4d944301507a175824de2dae490e9aeca5c347","1","No"
"0x5167d014a056e43883e1bbea5530c3c0dc993281","1","No"
"0x61ce3b30554d3e0913ed645a51205f47d8208117","1","No"
"0x75365ddb02bc316748fb9a2dc5a33b42f1fba2e7","1","No"
"0x02f95d4f31a62dd754747e73689aae122fbe7682","1","No"
"0x08eea074e18321bcdf3a2a93e987d74ef9d80400","1","No"
"0x1070e80d02fd7239cdee3c5cefc3f548e9f69efe","1","No"
"0x91dccaa260cc4616e1a6e6b693db7207c5e42937","1","No"
"0x95f75bc6bbd1a5c3474a61a0514f519389262fe6","1","No"
"0x9f75c7c19ffeb95b47e62b2c37ffae12de759485","1","No"
"0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282","1","No"
"0xa16e9d147deb505909ee6a59b9bac14aa9f8dfd2","1","No"
"0x155c1838aeb7efaca1405806f9c0d39ee7a93035","1","No"
"0xadba985ef8f265bbe8a969888e36801558aebc82","1","No"
"0x199173d874c20c2c07c73e444a63d653d4eb037e","1","No"
"0xaebe89ea04e6154d6cd0e4711783746260a6c3f0","1","No"
"0xbd7fae690d2e4573ba304d3db4426ad08ba6d760","1","No"
"0xbf70777e94192c6860f12f3fbe7693cee6b4fa12","1","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","1","No"
"0xd682f17ad8d2ed45edf2418be428ca47a8bd7921","1","No"
"0xe420a18a8fb5878efbaea538646bcf2da7529890","1","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","1","No"
"0x1d862d409ccad90c9df9323349657f42de60a883","1","No"
"0xf7d8450962824b752c30549f66a23e3daad69bca","1","No"
"0xfc6bbf4763845e3fe68cad2368f9e1b45f231d32","1","No"
"0xfcb01354e18ca1cc0eee89ca3459ef84daa2e0b6","1","No"
