"HolderAddress","Quantity","PendingBalanceUpdate"
"0xda22ecb2897040eb15da2a98765446ee07fdcc81","11","No"
"0x7887ef4a47fdf5fb52408ec21eb15bd2d8f1f3c5","10","No"
"0x435c943e85594b06855cfe4d7de5c439514f5890","10","No"
"0xae418379ab3290b0029aa75926edf2db03e662bd","10","No"
"0x4eca2786026efb5959a05984eb26f83b037743aa","10","No"
"0xf6f4b3d80884dcf2e602820622cafc1bcc1f9afe","10","No"
"0x41538872240ef02d6ed9ac45cf4ff864349d51ed","9","No"
"0x6f885dfab6520bd9bdc28a5a527e40daa625a770","8","No"
"0x5c2c3764a4ba0a4ea4b81532aa48e3a72ad0655b","8","No"
"0xfdbb95011d6e1c17f19f4e150595b41a9f065e5d","8","No"
"0x7fee3001d0116675c03486470207a28f2e4a55a3","8","No"
"0xa553da0483f7a84320250abd59f37fe3672fa994","8","No"
"0x94f4869fadbcfde08a8be5c6ca22ba710543012c","7","No"
"0xdc1f9c98351858416fe77a546a716ef1291916b3","6","No"
"0x2b324bf78f6842b95acbd28b8a7215f35f398d27","6","No"
"0x5cd5ea599e1dd97f0c4d26526f730d970d0cf444","6","No"
"0xb332c90b5346228c70941c6762badde857e1ef37","6","No"
"0xf703dfe714ce2f071f48b72a6fcf066a2b721a00","6","No"
"0xde12bc577b2ed3a2cd542ce8f0adeb37c9b59992","5","No"
"0x4803ca770b9d96995fec576337f7c551d589ca47","4","No"
"0x62dad688ca940162eb7996c0c5badb7245fce92f","4","No"
"0x69575d645ba27250ce26e1e497498d55658e5326","4","No"
"0x7a26f2a0b0bfe00e9c6f5e7cf1206eeeb40245d0","4","No"
"0x7f85ac005032b7a405d535eeb6aa6c29d05ae859","4","No"
"0x8703a1ac3a2474ee68a1154b7538172f9865192c","4","No"
"0xd8ca758383628d406052533e658b97b41114003d","4","No"
"0x97d2767db42135e1e2a5fd7dd3e11646ef4d2b28","4","No"
"0xe0988847fb63c7aa19101c9c638151dd3f2bfd5e","4","No"
"0x192402b1c85bf6eb36914f4efbc5cdd75f1c3ed2","4","No"
"0x797a47774c061c45ee94232217bfceae6ac937c8","4","No"
"0x1f4c10fe51cdf498e02f1393168686088ed9b222","3","No"
"0xbb25bf57df7317a237fedef32a26b1057496b13c","2","No"
"0xc3ab4f4451d65299540242bb8ab3c2c65154b3f6","2","No"
"0xebd93a2611b0a35f722e79a4bf7f7f000c514a4d","2","No"
"0x9387b5a08d050427f74cc9949d811eb6eaee1090","2","No"
"0x6a35b4037b9b70f3c4004488882cab9eb635571f","1","No"
"0x874df3dda021045f17542593e161c2c7366ae266","1","No"
"0x6648f8dd041ed689de7bf501efb3b827cf15b1f3","1","No"
"0xbc6f2648643f0d4595cc60210792158055432776","1","No"
"0xd08e92dc15f638aa621800af714d8b7371e222af","1","No"
"0x62516ea3e4eba99dcaa6757367fd814da2ce878a","1","No"
"0x35c3d091e2cf902dc09ec25712d67c55e7c61403","1","No"
"0x27aa3bb39ce7bddb868edc907828bf2c69036ddf","1","No"
"0x7bcba9296df0a11afac47881e9c08b40371ba008","1","No"
"0x42b576bfe9926537cec4a83f141a9204a3f929a0","1","No"
"0xedc4b220f6ff6331229ae7701b37671e67ed256d","1","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","1","No"
"0xa218d6a3ad14cfbfc96017d5d7bceee1484bd6a5","1","No"
"0xf8a323e916921b0a82ebcb562a3441e46525822e","1","No"
"0xed894c0df5412561c26eace5ae860be9c728b3ef","1","No"
