"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000c5dc95539589fbd24be07c6c14eca4","56,992,701,067.138242013658359999","No"
"0x000000f534caa75bd1a3950ab32d6bd24d2e6b76","5,879,519,336.18342479782675102","No"
"0xc4ce8e63921b8b6cbdb8fcb6bd64cc701fb926f2","3,501,345,495.601012799222370485","No"
"0xf766e3c30c09be842244fd32864a811d06b314e1","400,000,000","No"
"0xaf8dce0cd3616767d728ac3cda5e452963a8c758","324,099,566.407168480901572615","No"
"0xf9564e199a2001b1c0336d80619740894f8fc3cd","315,393,856.80437368973251634","No"
"0xfb94d3404c1d3d9d6f08f79e58041d5ea95accfa","315,180,863.848702132701873779","No"
"0x1a50d5059d7500c87ceb40b134d3bda3ab1f65df","303,997,509.626550254865488234","No"
"0x049271d4e63f0d02fbd06fba057a566baf6699c1","280,620,728.94258015780856916","No"
"0x0b5305f909b57f483e0b2c9614cc625943c4bc9a","279,599,955.308162392368818343","No"
"0x10163c3edf9127c1b102327ed1ba75f9ec4236c4","269,235,528.131100573950892842","No"
"0x1af331dc34dd7c5c62af28b5685328318b61888a","265,491,074.613746440503746271","No"
"0x15e4da227ff823f9872c8fab78b8217191958fb5","255,043,717.075847935346186069","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","241,535,383.707815638048136735","No"
"0x41f5970e4792d9ad022f0182a58a97f18d3fa019","227,540,431.094763838154375584","No"
"0x5aeba558bd5af49f1fbcbc69e31a2689573f0cb9","221,264,757.164266476758060456","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","210,231,579.254062178121831029","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","202,335,991.269548083324797996","No"
"0x4ee00a27aed7bd527c130ee24d174521983c3bff","201,597,385.869760154497262541","No"
"0xa887ef288b491d177dec77987b5b4fd644903ec6","200,000,000","No"
"0x3e57efef507b4db7acfa2ee79ceca6b19e18d106","191,006,481.546042945971177932","No"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","190,522,058.771451443433761597","No"
"0x3cc936b795a188f0e246cbb2d74c5bd190aecf18","186,318,240.025678372015852676","No"
"0xfd32fb200e3f24fe5ac8e847c5d379f1039d0b4a","180,941,904.378130555152893066","No"
"0xc2d875d553fe9600bd4904f062f613394c9af8eb","180,536,607.148432388779925689","No"
"0xc8b8bc9a92fb3fa5bc6906907502c2070d503b28","179,559,497.487600349030131125","No"
"0x0d0707963952f2fba59dd06f2b425ace40b492fe","178,668,278.01173559944011861","No"
"0x58edf78281334335effa23101bbe3371b6a36a51","177,138,526.526378416098551204","No"
"0xbe4f0cdf3834bd876813a1037137dcfad79acd99","164,748,878.302833007735526165","No"
"0x2e6b28fda29e5328acd9cadaf6b5900daf5cb576","163,245,678.773992152530015989","No"
"0x9642b23ed1e01df1092b92641051881a322f5d4e","157,752,706.683110102036563936","No"
"0x6b6786222550dcb832ec0f503c7f972d2671f6ae","156,939,139.124111794101232903","No"
