"HolderAddress","Balance","PendingBalanceUpdate"
"0x1821bd18cbdd267ce4e389f893ddfe7beb333ab6","46,456,427.060908","No"
"0x61a8d92029cca2d4a1a0d14be7bb3a958b02123d","30,444,466.132868","No"
"0x30e3784b28332b7cb268988f9e81eeff9e3bf2dc","24,927,891.855631","No"
"0x8cff56b9dbb332aa88be901395dc4488e0650fa4","10,513,869.678807","No"
"0x000000000004444c5dc75cb358380d2e3de08a90","9,999,999.841606","No"
"0x0f67ee003b7fe9ae1acf2cb2dc8e9f353c67f7e0","9,798,171.649166","No"
"0xcdb628839edcae057387ef654ee453dc264e3fd0","4,996,258.477666","No"
"0xe810047ea6b73140a1bb8198d02bc463a2129d0c","4,862,000.16331","No"
"0x07e27fcaeac05237b6499ad7ce8671ceeccf6678","3,564,060.10882","No"
"0xb4387fd9abb7a01d0d09f2b74119d242d8bedcbf","2,053,812.090298","No"
"0x05be328816dff73d8518d4ebb09fc1111c2bffbb","2,000,000","No"
"0xa779fc675db318dab004ab8d538cb320d0013f42","1,657,697.386344","No"
"0x785cd1c6959c4d38aedecec0dd966a77ddd1902a","1,194,552.333198","No"
"0x01c8dd4691b9cc363585e6cf1fae5deeee662ee9","1,057,429.747201","No"
"0x962b1162d07fc04173e06af9b25269bf019caffd","1,014,574.269963","No"
"0x8eb3700c8d02abdfa6c4ca5976c7ba86be34422b","981,796.211342","No"
"0xc36db0bdb9b3002ff46e444f3b66bf207bb4d014","899,200.613594","No"
"0x9117cf613dd798c6456121307f3f7f38896b6e5c","815,409.158217","No"
"0x4c17cecba2527e5895988c4c88423089ad2faecc","639,356.551451","No"
"0x236565f3941c67e9f5f312f5dece52fea828b3f3","600,480.840439","No"
"0x43ac641951f48bc20198c15ee1c99acad7071865","405,266.01084","No"
"0xe83f75907fb4c575414fa6f5cfe8cef24dc5870c","299,477.843229","No"
"0x9387b5a08d050427f74cc9949d811eb6eaee1090","281,191.152956","No"
"0xb51ff2f65b935142aab32abefa1c0e29a4161d31","140,383.819787","No"
"0x49e37ea35ec63493d77e459b9c852b0aa6243f09","128,705.341727","No"
"0xe526f0dd4182a3abd95e343a68ca7cd4c7de910e","119,996.461101","No"
"0xf39fbf3bd9f7bfda4fd5cb30df587c9f6d6abbbe","82,832.632153","No"
"0x0000000000c5dc95539589fbd24be07c6c14eca4","72,108.144369","No"
"0x741d88aa4c4895dfdf23078bca8788f3a942b691","63,798.857569","No"
"0x19e02b992c0295d27eecff941d5dbfaf85409d86","60,642.354725","No"
"0x0ec8622dd9e2e58de0de19290bdf9ba5ed522f76","48,861.96425","No"
"0x68013d69c9e82191c88bbc31edddc1f6006fbacd","41,220.050156","No"
"0x407615e720424e6d3169f02803249eaf8de07910","25,000","No"
"0x744458eae66b7a0308c411860c8a82ad11d1cc68","23,514.278192","No"
"0x4c76df80fecfeef4a742808d0426e0c45c7f5757","16,225.154152","No"
"0x07fda4ee9a1ec899d09a20e4fe7ae9bcd5be5fdb","12,999.985858","No"
"0x000000fee13a103a10d593b9ae06b3e05f2e7e1c","6,993.754819","No"
"0x9008d19f58aabd9ed0d60971565aa8510560ab41","3,285.46287","No"
"0x7afa9d836d2fccf172b66622625e56404e465dbd","2,191.472212","No"
"0xca226bd9c754f1283123d32b2a7cf62a722f8ada","299.235545","No"
"0x1f2f10d1c40777ae1da742455c65828ff36df387","0.009537","No"
"0xdc7e9e9808bb28aa4cbef08fe604c4ab4cfe0402","0.000038","No"
"0xc66f2bf012061173afd4643e0a312bfeb0680699","0.000013","No"
"0xbdb322f45207c048e15327346eee58451c335188","0.00001","No"
"0x7d6329e038771b87d704ff80f109342c591dbb46","0.000001","No"
"0xcd80287624767106de464481aab534126d46ba28","0.000001","No"
"0x1111111254eeb25477b68fb85ed929f73a960582","0.000001","No"
