"HolderAddress","Quantity","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","654","No"
"0x7596895bd11ad184f1dca74ac621d4155530c90b","26","No"
"0x67d21ebd269d61ef8cd9f0f3698869b3d818a4b5","24","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","13","No"
"0x1972560d3c113924df93dd2ac84bac702ff5e498","12","No"
"0x416a3427414b6c98adab70f48a2a904d1cf3f446","12","No"
"0x7e2ed2f1603da772ac0fca92042baadef029c68f","12","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","11","No"
"0x0d3c6bf91dc74ce5916c0cd8195eea3e1288c79f","8","No"
"0xb6837977b4454f49f8611bbe16718bce859de887","8","No"
"0xfc6bbf4763845e3fe68cad2368f9e1b45f231d32","8","No"
"0x0bb116fd5768285bd7b718e7b360b4376358a427","7","No"
"0x2b9edcf4e17ad5eacd1c3fdaa3459a17c9755c97","7","No"
"0x86ff864ebeaae2330c19c7cbadfa6be0f134bc6b","7","No"
"0xf4d24c488c18cd4eab9f9062bd155fca99c21118","7","No"
"0x1ac08405e96e3561893eef86f194acdb9a24d38d","6","No"
"0x61a8d92029cca2d4a1a0d14be7bb3a958b02123d","6","No"
"0x6cc226e09bf5ddc6a919afa7775c19af283178f6","6","No"
"0xb026846b57f3f7e9f8da6d56f92e57e29c341603","6","No"
"0xb39a1c8933e67ed4dc65ba37035ef477b3423374","6","No"
"0xc941dfcf81fec474e562d1803292b854bcb5f5d2","6","No"
"0x655ecbed357138fecb5ee2126ea7b77439638aa5","5","No"
"0x7f314be00306b7ce9b186f437574e52b5dfb384c","5","No"
"0xbcca383e7be60f9300469e32ec1d1b5af73bfa0e","5","No"
"0xfbc3692deeb263f39c3a30d6d0c0496d97686011","5","No"
"0x0a7a29432241895997ce9ba9e450d68d971f77f9","4","No"
"0x3bf6f0a1162e782c14db289ee8b7627fdf4a52f7","4","No"
"0x3fb01016b4226d7038001cd2b03615365be5d6b0","4","No"
"0x6ca6a13bc36da3b89faf86aa383593e5ab52324e","4","No"
"0x7c106c30ad78f5b978a1abee0eba6f565ed40836","4","No"
"0x9d68c96f661e0a77b4e2dd2ba4550f4328bca5e2","4","No"
"0xbe4f0cdf3834bd876813a1037137dcfad79acd99","4","No"
"0xc835d6a8473d4e4f6807a9192b8d90c694a2021f","4","No"
"0xc8ba08acc4405d72102181476ae3796e9d26d610","4","No"
"0xcfd469fae83098f72ed8464cc36a006a2170698f","4","No"
"0xf4b03f6bf1c7d529194410dc3d0775a1d7bff09b","4","No"
"0x7ef19ac35d2bfbf2a6f3e0e7aba96a0386df2422","3","No"
"0x9b228b4f71b3bc7e4b478251f218060d7b70dc25","3","No"
"0xaba2ca6811e102158bcd8023dd351e28fc034724","3","No"
"0xea29ed533c0948c5828bc4232bc6e289d454aa00","3","No"
"0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596","2","No"
"0x14c00dbede6ac88349b20e8eed7c7f7689e11217","2","No"
"0x1511afbe08e6abbf4e78fb8a72877019500b7a2c","2","No"
"0x17e89fdf297974f55705d1e2d67c7e7414661c47","2","No"
"0x2302e8505354918b9693cf3722b18ecc17910039","2","No"
"0x23bc95f84bd43c1fcc2bc285fda4cb12f9aee2df","2","No"
"0x25f8d57449e54918812fac6dabb039b55f780891","2","No"
"0x28521a5b7e439d3b0b8e13c5ca66de26cf6e756c","2","No"
"0x2d945612d4a2d169150d6b3e0f300e70df383ef6","2","No"
"0x3c51b5f65d9526e424632cb345b3a02b59fcea0d","2","No"
"0x68152e58ddd8209685ab978ad677e065b712d536","2","No"
"0x6b32cfe405f1fb51f07d8ea1d67bf6ac0abc7936","2","No"
"0x7431931094e8bae1ecaa7d0b57d2284e121f760e","2","No"
"0x7afc67bba67d76272a1448773fb74583bd940fec","2","No"
"0x7bfee91193d9df2ac0bfe90191d40f23c773c060","2","No"
"0x830462b67c552778765095a40bd7f8991709c2a7","2","No"
"0x8473fb18d589c4234637e383db1f8aaf5b1766b0","2","No"
"0x9d568268da749a68239b2f406358bfb504874c2f","2","No"
"0xa16e9d147deb505909ee6a59b9bac14aa9f8dfd2","2","No"
"0xa7dcc417c63f24f9073b667a5d7149bd38463d0f","2","No"
"0xb12e5e8b538591113b231a1741085ce44caea482","2","No"
"0xb2943ff4cebdb48c5772285626b60482558fc66a","2","No"
"0xbc26d5d704e13567ec8af6a806e3051ae11c9ee2","2","No"
"0xd01cca16a382f62343e96f675396d547293fec6a","2","No"
"0xeddfb8840ad73c8a56b52385f0c78dce2db59b70","2","No"
"0xf039554e5e4554a2139fc1b968f62cde20cb25d1","2","No"
"0xf6bd4768e672a7c98c3f76860d355e9bca566bee","2","No"
"0x01433607229a6504728be93973cc919cfb8d48b5","1","No"
"0x01c2964eee4326d4650b184011f2c1f58ad865a2","1","No"
"0x02e28f602df8f8276269bc833f36756f4158606f","1","No"
"0x05436ff78bca91388ad55826f07998f3af914431","1","No"
"0x080c2dabf779e7d57da2fb3a75641d25f975daf0","1","No"
"0x0e9e8fd17b0d4ecc931c1380f7231be76f80ae4b","1","No"
"0x19e02b992c0295d27eecff941d5dbfaf85409d86","1","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","1","No"
"0x1ce9ff9e35b27a847e2de6af1c83f09ba3244768","1","No"
"0x1d862d409ccad90c9df9323349657f42de60a883","1","No"
"0x1dd201b8aea860e45730db46d923751d5404964f","1","No"
"0x1f5d295778796a8b9f29600a585ab73d452acb1c","1","No"
"0x20c3e408ffa4b0d33bb8223a812ce9a6e8e64872","1","No"
"0x2771e3d74ddfc61699b773c7d845b57eadccc5fa","1","No"
"0x280337dd2542787993b48feeffa841dbd4543c5d","1","No"
