"HolderAddress","Quantity","PendingBalanceUpdate"
"0xef4e0e3d2e32c04e0c931e204588cf51b08d6cda","255","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","126","No"
"0xf3cac0bde469b42a349ed0ce994a90e7c4a2c606","98","No"
"0x114925652ccf16d7cbde86691f207064028f8357","80","No"
"0x5fb51fa911604f8aaacee1231620e028be369b1d","59","No"
"0x32918dbb0dad6c0e92ebc72f024a61fb8507277e","56","No"
"0xbe4f0cdf3834bd876813a1037137dcfad79acd99","48","No"
"0x700570ada3fefb97acb2388acaf425790b4f11a9","42","No"
"0x08eea074e18321bcdf3a2a93e987d74ef9d80400","39","No"
"0x604a060d8eaa48bf10ed99b6f643557d645dde82","38","No"
"0xf4b465db2f7e39e702324225be51ee60f0f5796a","29","No"
"0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596","27","No"
"0x67d21ebd269d61ef8cd9f0f3698869b3d818a4b5","27","No"
"0x4a7c4d51a28848490ca707ce8c7b955af9ac2a18","27","No"
"0x6b34dd13ce75a1ab05b9bde8c3b31aca77184329","25","No"
"0x6d7cf6091d4d24c76f594b7b61c771f1aefd5dcc","25","No"
"0x0765785c72b3ca36e205d81fa09b804436d99a3d","24","No"
"0x18c2f8a7e2696d28661d59785b18c6794cd8d8e1","24","No"
"0x139fde7c955c8d20bbf61386259d8e84cd59feaf","23","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","22","No"
"0x0a7a29432241895997ce9ba9e450d68d971f77f9","20","No"
"0x50f27cdb650879a41fb07038bf2b818845c20e17","20","No"
"0xcbc44e0850fa7819184bfe379bc46f3c84fcf468","19","No"
"0x3436c39abafddba06fbef34832d7930c2e757168","18","No"
"0x5167d014a056e43883e1bbea5530c3c0dc993281","17","No"
"0x75331ebbe0b00b97cab532384f13c9b479f074ec","17","No"
"0x563b4e3be5452bd01852dc5e698ca4b2392d1200","17","No"
"0x9ac49d2ff6d3cafb8811d3de84cfe065b55cdfff","16","No"
"0x989cfde127e6cbc2e4439a6c0b964e07bfab26dc","16","No"
"0xa0bf5b240634918c70d4ec9384dbd0111ef40b42","16","No"
"0xa2ebd97892502847061fe611efd5e289dbfa0703","16","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","15","No"
"0x860b15d380b19ca3d37ea7c3af0e2bb26b420c27","15","No"
"0x1701f10ea16e95648e3450488e1e2da9102774e5","15","No"
"0xe2a27c6a5176750adaf244702ecec831b1a98f90","15","No"
"0xeb7a12fe169c98748eb20ce8286eaccf4876643b","15","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","14","No"
"0x228391ce54b1f0f8b999094003d7cb4e6b7cf32b","14","No"
"0x439bf5220a427ab12eb2299d78dfaa1a975104e7","13","No"
"0x22b98bd46a95ba46a7d53845b3ff252c15b5870f","12","No"
"0x28f2acfaf1f58f8feb191df86d8e869d6604195d","12","No"
