"HolderAddress","Quantity","PendingBalanceUpdate"
"0x29469395eaf6f95920e59f858042f0e28d98a20b","349","No"
"0x227c7df69d3ed1ae7574a1a7685fded90292eb48","153","No"
"0x398d282487b44b6e53ce0aebca3cb60c3b6325e9","150","No"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","118","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","110","No"
"0x2d50bf6334152dbda8bed2f50e5a0d8456bd47b3","103","No"
"0xfd32fb200e3f24fe5ac8e847c5d379f1039d0b4a","100","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","93","No"
"0xb4d7b67215fbf3b44acbc8a660004b1ada5f6229","63","No"
"0x000000006fb40b14c78f6d166b5a87bc3bfdd1d5","62","No"
"0xf4a93bd87468a0a1ede4a4de2ffd20dbdafeba1a","61","No"
"0xc8c9771b59f9f217e8285889b9cdd7b9ddce0e86","53","No"
"0xc46bfd225ad359f78c7fe84d50619977c6b7f318","53","No"
"0xc835d6a8473d4e4f6807a9192b8d90c694a2021f","53","No"
"0xfbfcfee2bf2529e9926e3b047a065cbcf3b907be","50","No"
"0xcd77211b229b57a7a797938f3d20848dae11b248","50","No"
"0xc7598e5f348a33cd8d5e5ef087f59305255960c2","49","No"
"0x1aba4d6616034611c5b8d77ae7d53360b527b7a8","40","No"
"0x35b2095a0d31516acd5327218c4979be4b4a2207","38","No"
"0x6800212fef0f1729b96210e3fdadf50fc21cf4e0","37","No"
"0x852ccd8fbf94fe97cd56f558f1f08415eb7c5f6c","34","No"
"0x4a4d944301507a175824de2dae490e9aeca5c347","33","No"
"0xaa0f51cdbfd65db7a7c55a44dfe94b6462578183","33","No"
"0xd560214696005e4d9868e7dc48dce237a91f234f","33","No"
"0x378fa8aadf41be68ef61fc8582495fa4c89e44c4","32","No"
"0x532ee831bb3c2bbe6f60f4fd523f912699152905","30","No"
"0x22b98bd46a95ba46a7d53845b3ff252c15b5870f","29","No"
"0x064980edd7d43abee781f49a4e31c06df05ecccb","27","No"
"0x14c00dbede6ac88349b20e8eed7c7f7689e11217","27","No"
"0xf65b99ce6dc5f6c556172bcc0ff27d3665a7d9a8","26","No"
"0xe59e1472bf6fc48be69316e7a40ccabd0074ef9e","26","No"
"0x4e4e55678bde5c85142a1eeaf959da7c0e108ea2","25","No"
"0x000000000000000000000000000000000000dead","23","No"
"0x37eec60a6d731beb8bb08449d8aaf8a1671e6fcb","23","No"
"0x0cc3b5015c678685f3552fb1a1bfa53112b71486","23","No"
"0x1d862d409ccad90c9df9323349657f42de60a883","23","No"
"0xb0c26305d4f4ef63f97b7d58010bbff3ce9b36b3","22","No"
"0xf9589d7797f03c8d41eb779cbf4be89aa5c58daf","22","No"
"0x221b2ce661aa9cb5e936da6fd2bdfd6bbef71ca3","21","No"
"0x9f75c7c19ffeb95b47e62b2c37ffae12de759485","21","No"
"0x90feafc61fd3b55afef509f0772ec5b51e399ba9","21","No"
"0xa7f1058b463232e4ec903fa7d18c1add8a6906fe","21","No"
"0xe3f7fda32a28d8655904e84df55f1c7a982d67f0","20","No"
"0x6011f92c8d7fe516974e95730a61414d488d2b6f","20","No"
"0x93ed17ca0044b3a97ef51de45548daa101dd5a79","20","No"
"0xe420a18a8fb5878efbaea538646bcf2da7529890","19","No"
"0x85074968d0ff84f4a0ccc6ee50327ed8f7a8ef32","19","No"
"0x984c2ca02454de2250ed0dac78d40787ebfeb95c","19","No"
"0x6b34dd13ce75a1ab05b9bde8c3b31aca77184329","19","No"
"0xa963e3c22bbce591e8520ae545205389cb0e2590","19","No"
"0x5afce9c50060c69fd99b0b4ebd3f397da2fffb7f","18","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","18","No"
"0xae9fac86cdb1cf62d2b3649036b75be76565180e","18","No"
"0x1ac08405e96e3561893eef86f194acdb9a24d38d","17","No"
"0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282","17","No"
"0x83473d9d09829cfb35ced2dc25df0d1a0c27d2cd","17","No"
"0x1668c9725e27bf5943bbd43886e1fb5afe75c46c","16","No"
"0x8e98e11e525521e00dbdb16f7e1635ac1688b3c2","16","No"
"0x95d41776812c6ca222dd5fdea56c065b55ff7655","16","No"
"0x5021ca11545bb39adea9cf8cbbeee9c3182a5c36","15","No"
"0x89bc08ba00f135d608bc335f6b33d7a9abcc98af","15","No"
"0x244e24437a6175267d53a66937efc36235d7a96f","15","No"
"0xcbc44e0850fa7819184bfe379bc46f3c84fcf468","14","No"
"0x87e386cedb82cf8f080b3505adae1ef699e65057","14","No"
"0xb82eb1da53c5e394f8525c7d627dd03640d6bc97","14","No"
"0x84572c31acdd30c03982e27b809d30b1efbcd8f2","14","No"
"0x7b1ebf2bb08d5b3ca3db586b79e9c9ef8f88e23c","14","No"
"0xb88f61e6fbda83fbfffabe364112137480398018","14","No"
"0xaece9d7013c9ad659bd8949195713ae4382449c3","14","No"
"0x1d823888d86db9006d029763a539bf8e8b7f3239","14","No"
"0x7d21d6f8e03746bef7fb64710c1569505f76dc18","14","No"
"0x4fea44b9abb65e36a0d5aab78b56e7aa1a564533","14","No"
"0x77c838915da2f65a921c589781ace23915ae6cea","14","No"
"0x71cb724ce2bfe95a34ea7578d80d871dad595678","14","No"
"0x9fe7316ae5cab1440e5c11de7875444824048cf2","14","No"
"0x464fb9cdf750bdb0d9ca2a823aa90648606bd27c","13","No"
"0xfb94d3404c1d3d9d6f08f79e58041d5ea95accfa","13","No"
"0x1534f10aa3d392cf927c247356cfa1c0849c6b46","13","No"
