"HolderAddress","Quantity","PendingBalanceUpdate"
"0x855882cc65ba66cdbc7a8c512143f10169891307","83","No"
"0x65ccff5cfc0e080cdd4bb29bc66a3f71153382a2","74","No"
"0xa299842fd0c72ae699b08d0acce721bb738f1fc0","73","No"
"0x1821bd18cbdd267ce4e389f893ddfe7beb333ab6","32","No"
"0x8a87378502745451f1d35497a39110d9e040e885","31","No"
"0x8adc376f33fd467fdf3293df4eae7de6fd5ccaf1","28","No"
"0x874df3dda021045f17542593e161c2c7366ae266","22","No"
"0x68856c1fb2525e65bfb3f945e2041e24ea373c21","20","No"
"0xaddd5a1d51bff4d67e67ae23fad94b6b287de78c","18","No"
"0x151daf2c56a2dc4e618e7eb78ced353592751e41","17","No"
"0x016ab691721a99da1c1489ca0ac8b549eb0f7713","16","No"
"0xc8f7643165302508e669a64d39d767f851b477d0","14","No"
"0x4fa96e1a141d7e77351cdc3822f08cb325e52116","13","No"
"0x01c18e70ae0df420516d7e93569699bebc1cfdcb","12","No"
"0x391cd59d33aed135e8ba7475677b1bc781035b32","11","No"
"0xdf4abd11d93cba45f8be55e3a41c1c18c6f8e9c1","11","No"
"0xe316044b7c3ae5035bc99d6129d017f3b383ddd8","11","No"
"0x613a0ac4968f042b773880b0173bbbbba2fec6d9","10","No"
"0x715f280d07b7d98b00f7eef9e4ca62e9c5dff999","10","No"
"0x000000000000000000000000000000000000dead","9","No"
"0x1c6f1a832e73949c97fe335a98b6a5fc3c9c29e9","9","No"
"0x0f67ee003b7fe9ae1acf2cb2dc8e9f353c67f7e0","8","No"
"0x32918dbb0dad6c0e92ebc72f024a61fb8507277e","8","No"
"0x41c8e478f5ad4f6d1a3b73806e752821ee18e99b","8","No"
"0x77a1306348c5eb03ef7be4bdc831dd68ca4a5be8","8","No"
"0x0f3a5171bbe8d1235f26d7b9a647578f11c55384","7","No"
"0x30e3784b28332b7cb268988f9e81eeff9e3bf2dc","7","No"
"0xd1510e4d4263cdc50dd39a5d18d4c676fe4b0aa5","7","No"
"0xe51b692ee9671e7ea69022d1c70bdcf16fff07c5","7","No"
"0xeb6b5f4eb419b6e00cd5fa4d7acb413688e41d8c","7","No"
"0xeeaeac4369a8475ee68bf844dc2c6db67801bdab","7","No"
"0xef54a382cd59c2ab47b95f4b2d2b57176a2825fc","7","No"
"0x0a7a29432241895997ce9ba9e450d68d971f77f9","6","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","6","No"
"0x1da58933f381edf6f09e9faf2ca789b48e58bafb","6","No"
"0x2964d617fd62994a65102c82dde82ae46d7503ff","6","No"
"0x4f6092a5157003bea7640349d6fadccad915980b","6","No"
"0x5e2889eb037aeac4f64fbb9856514f6dfebada63","6","No"
"0x600423a6f34475aa523a274d244947a3e7d5696d","6","No"
"0x6f885dfab6520bd9bdc28a5a527e40daa625a770","6","No"
