"HolderAddress","Quantity","PendingBalanceUpdate"
"0x29469395eaf6f95920e59f858042f0e28d98a20b","431","No"
"0xfb94d3404c1d3d9d6f08f79e58041d5ea95accfa","285","No"
"0xcd77211b229b57a7a797938f3d20848dae11b248","172","No"
"0xa996d391f64158fb17fb71d6a4fad67df7410895","154","No"
"0xe420a18a8fb5878efbaea538646bcf2da7529890","153","No"
"0xfd32fb200e3f24fe5ac8e847c5d379f1039d0b4a","141","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","130","No"
"0x4a4d944301507a175824de2dae490e9aeca5c347","129","No"
"0xa35bd2246978dfbb1980dff8ff0f5834335dfdbc","126","No"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","100","No"
"0x22b98bd46a95ba46a7d53845b3ff252c15b5870f","98","No"
"0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282","97","No"
"0x2e6b28fda29e5328acd9cadaf6b5900daf5cb576","78","No"
"0xac0c562158cbec5095b37484dffa51088ebde6c1","78","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","67","No"
"0x0995b15bb003b1b9c7e4e15864b4726e1200ec1a","65","No"
"0x40962b448aa899196906646340cb4eb61a8d49b4","53","No"
"0xf4a93bd87468a0a1ede4a4de2ffd20dbdafeba1a","53","No"
"0x82ee15e7c0c923e512eb0c554a50e08254ebd660","51","No"
"0x95d41776812c6ca222dd5fdea56c065b55ff7655","48","No"
"0x76d87a1bba52aa71d7fc271d4a9088b79bd9be1e","41","No"
"0x38eb8a50c7010d2c33ab24dd613c4e174c8f3b30","40","No"
"0xb332c90b5346228c70941c6762badde857e1ef37","38","No"
"0x532ee831bb3c2bbe6f60f4fd523f912699152905","38","No"
"0xc835d6a8473d4e4f6807a9192b8d90c694a2021f","37","No"
"0xd81a8ff4e1e84bf61853198382abd054edf000a8","36","No"
"0x4b5c7beaa0f2dc46a9e573202964fbb162fcfcd1","34","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","32","No"
"0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435","32","No"
"0xf3401540fc46725a2903a304464eba8fa1c6af77","31","No"
"0x114925652ccf16d7cbde86691f207064028f8357","30","No"
"0xc4cd14a15a94be727af253335abafd6b6f411acd","30","No"
"0xc2f094439cd1fc45af3e8a679984927abab0d3d9","29","No"
"0xca148fa49a8e68d44a924c8d8200fd48a20d6860","29","No"
"0x4e9cca41646b60a6817a984c8721d8e7e783c7cc","26","No"
"0xc85dd4d0ebfba5f0de0b052ff224fafda18f617b","26","No"
"0x700570ada3fefb97acb2388acaf425790b4f11a9","25","No"
"0xd53edbc66b67417dec16ce47a7ec161c16420874","24","No"
"0x7c1958ba95ab3170f6069dadf4de304b0c00000c","24","No"
"0x9f75c7c19ffeb95b47e62b2c37ffae12de759485","23","No"
"0x89bc08ba00f135d608bc335f6b33d7a9abcc98af","23","No"
"0x1511afbe08e6abbf4e78fb8a72877019500b7a2c","22","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","22","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","22","No"
"0xa7f1058b463232e4ec903fa7d18c1add8a6906fe","22","No"
"0xc7119d682728894f5f76b909a43040e33ac6d651","22","No"
