"HolderAddress","Quantity","PendingBalanceUpdate"
"0x95ee9e136f0d5eb6fb5b7b83bd09b35e21ba55f0","36","No"
"0xc835d6a8473d4e4f6807a9192b8d90c694a2021f","29","No"
"0xd1282134a3481cb548504073ea31e602228f15b1","13","No"
"0x32834f5d04811c2253611ad6ffa4fbe2d1ba1d0f","12","No"
"0x4a2c786651229175407d3a2d405d1998bcf40614","11","No"
"0x96eead4cf15be74b20f02c32bc2dbeb6494b5c17","10","No"
"0x06b02e983de7c5837962039b68c3e2954725639f","9","No"
"0xa580bfa51f601abaf1ac4d95c4979a9a8490503a","8","No"
"0x199173d874c20c2c07c73e444a63d653d4eb037e","7","No"
"0x0e442c7d7db830276ecc7292bc57456309fe1522","6","No"
"0x6b34dd13ce75a1ab05b9bde8c3b31aca77184329","6","No"
"0xc99f40453b4ef2630261344220394740da47beab","5","No"
"0xeb6b5f4eb419b6e00cd5fa4d7acb413688e41d8c","5","No"
"0x4cc0290121760fbcb4a669cc8ab8fb0314c82fc1","4","No"
"0x94d9ebb25447ac5d66b58a6a4fdfd62b3b83bd90","4","No"
"0xf3d9281fa183b74f32b96e1c5244596045f4ede8","4","No"
"0x0e20de7b8a72f6aff5823de0e695c38186d7c701","3","No"
"0x1a9a0b97ce419891f67468f81c91bc82497956e8","3","No"
"0x75f3264c928c3da498466f3baa7c5e142a6b1f51","3","No"
"0x7e8da72ba1656f62a5a07b18b23e5d23bcd5ed3d","3","No"
"0xb1d9080628628f29652e3ea18de97e94085a3833","3","No"
"0xb82eb1da53c5e394f8525c7d627dd03640d6bc97","3","No"
"0xbd7fae690d2e4573ba304d3db4426ad08ba6d760","3","No"
"0xfea2bb0c378b617ccec0aae6b79bef7b908a078a","3","No"
"0x0da47666a8311250c7fa713250a828307fe933fe","2","No"
"0x32cc2ec897f21a77a704e9a7313af6a640c47bb5","2","No"
"0x40962b448aa899196906646340cb4eb61a8d49b4","2","No"
"0x4e9cca41646b60a6817a984c8721d8e7e783c7cc","2","No"
"0x4f02e83703609a0857f9ea7fe02391cb021668c9","2","No"
"0x62dad688ca940162eb7996c0c5badb7245fce92f","2","No"
"0x651a5ca6a1d858b227fe35403f5cda28ea5f846a","2","No"
"0x6c3e007377effd74afe237ce3b0aeef969b63c91","2","No"
"0x731cd5124d48d073f4370dba709846627e93f497","2","No"
"0x7bfee91193d9df2ac0bfe90191d40f23c773c060","2","No"
"0x89f42ccb1b90103a4b886cc8ee01979492808079","2","No"
"0x8f200917dde44b546c6f9044d47db833c042c0ac","2","No"
"0x98011a7b0795f456ffce7c988369f1149e8aeba2","2","No"
"0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282","2","No"
"0xb8a9eafef01fee251b160c0ff3b5e0226c3e6c9a","2","No"
"0xc3ab4f4451d65299540242bb8ab3c2c65154b3f6","2","No"
"0xc5a2f28bacf1425bfaea14834486f0e9d0832155","2","No"
"0xc8c9771b59f9f217e8285889b9cdd7b9ddce0e86","2","No"
"0xcdb66d35a0d40cfbc70881c8936c5d1f4e40e789","2","No"
"0xcec345b4d4360565c518b3d72ce718c8a1d8b10e","2","No"
"0xd75337cef33ace428a18533a1fb791acb1eff239","2","No"
"0xda99f18e847d17a5cb72c48cdff1166080a27720","2","No"
"0xe7ad951b6eae9f4b218693d96fb4faedd721c637","2","No"
"0x0068f027e853947322684afcd8906fc10c34d04f","1","No"
"0x016ab691721a99da1c1489ca0ac8b549eb0f7713","1","No"
"0x01e4e2336c28def39c58098893d8ad84b9f1b9c7","1","No"
"0x0225ff53f3cbc8b006edcdcb118292dd9689d3ae","1","No"
"0x028a897fe2f39c49772eb893a3d1a5cce93a7228","1","No"
"0x02c545e7e16afbbe405fad98a8a5a9a9feece114","1","No"
"0x02e0b414926c827b18b1f0b9adbe595ef6ffa080","1","No"
"0x02e6388abd96a1e822e7304f424625b600ab25ca","1","No"
"0x0330b8896316f7fc89e1beee5f141c0102eed772","1","No"
"0x0354dba16a24ce38290b1fc37b317f7fff5d2e87","1","No"
"0x053e6294400a9268e35df445624f58087c7f388f","1","No"
"0x05409486896cf7eef2d7110ad5640a5d594550f5","1","No"
"0x0595cc0e36af4d2e11b23cb446ed02eaea7f87fd","1","No"
"0x05963bdcf393c93f40f6e769ca2561adbf6a1c59","1","No"
"0x06b99a78edf4a8a40d132cbb407ea5733c988261","1","No"
"0x06e79eb8b6e7ca0acc76aa51301a604197ffceff","1","No"
"0x080592cd90f5147357120b3d2725ac1b70517a56","1","No"
"0x08f67b21c24badbb6e8117020c3846909ac3e65c","1","No"
"0x0a46dce04a11852f4d7edf51dbaa3c0239071687","1","No"
"0x0a4c97c9856fab0fd9857ed6891f33e06ae28f1c","1","No"
"0x0be3e5c04e5e1e26718827aa32de62155141c20f","1","No"
"0x0c520d5d99df7ecbf3754ccdc1c9583495582069","1","No"
"0x0ca22cc3da9bfb4a45a6f2935949cfa0a7ffaf92","1","No"
"0x0ef96a683ff83f6cb06f264c699390ad674eb1c0","1","No"
"0x0f7a1e945b12867e17cfc077649e584de032e1d1","1","No"
"0x0fb95b8c2d19f1cbd2dfe9ecb3bdf992cb9e8b92","1","No"
"0x12899167ebac6cfd96b61b18eaa5f91f9d859886","1","No"
"0x12a998ab13a839edc5f736aea164f0378f9e8ba5","1","No"
"0x142d61ba3439810b89f17fc2268bface0c4a5c90","1","No"
"0x144b9a09b3d4e88212f69cf21bfde6e3eb64420e","1","No"
"0x14d4dda083196de7ea4ad7fa878353bc00db0a20","1","No"
"0x1511afbe08e6abbf4e78fb8a72877019500b7a2c","1","No"
"0x16b158e3a0d4f9576c101839d2d1def9d935152d","1","No"
"0x16d9fd80d8e3f055ba7793794e811712dcbdd9c2","1","No"
"0x1795953240570adc885caa16721b9fe7e26f5e26","1","No"
"0x17b1cb1ad28e8e8b038139e95cf6223ee7e8b572","1","No"
"0x181b1e8f74b2f8be354b5d03e6d2a3d57c7b3ff6","1","No"
"0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28","1","No"
"0x1972560d3c113924df93dd2ac84bac702ff5e498","1","No"
"0x19842f610f5cf2cc8a79cbe7aeda66b4ac6382fc","1","No"
"0x19e3b9ef4b003dc3aa1963ff73b2f058cf6c1a49","1","No"
"0x1c0857fcf006c1ea10f9faf2686242fd1e758c00","1","No"
"0x1c6f1a832e73949c97fe335a98b6a5fc3c9c29e9","1","No"
"0x1edf0a0cdd2fafd67830fe927b2d8e1804859fb8","1","No"
"0x207b4a2b37b38e54217acb4b8c2ce7025bd14759","1","No"
"0x207e565f44020492acbdad79086220ee0e9a92d2","1","No"
"0x20e9d382b137dabe2fb5ee44a6d3a660e263430c","1","No"
"0x21258055dfd7a287dcc224e3586210f1864c1996","1","No"
"0x21af5166e41dc3371d062131af9d6a25e0f5c7d1","1","No"
"0x2276f8e41da8d43bdc331ed603f3b824e6395fc1","1","No"
"0x22b98bd46a95ba46a7d53845b3ff252c15b5870f","1","No"
"0x24027127f98ade3b2f880551bd860e8a41b9b751","1","No"
"0x2440b90e1f840f5426057fccf1a78afebbaf7f96","1","No"
"0x247648f73f1d13ed4461a36b7dac5a8fc09e5df4","1","No"
"0x24f2112a3fe2bc186ffc7abbaba34bb49d7b199e","1","No"
"0x25be6c9cbf3b8ddda767ba6a597f8e6d211fc224","1","No"
"0x25ea026ec746b43f7a73bd3632fd18d46178a90c","1","No"
"0x26d4068157ee21536d39b8de38f0ccb8e08c9cfb","1","No"
"0x27ec3876511a4badbd80e69685d986d05df091c9","1","No"
"0x28521a5b7e439d3b0b8e13c5ca66de26cf6e756c","1","No"
"0x2a45c51ad0be68790e28d26ac8963497f6760472","1","No"
"0x2bdfc32ed7b113d79d04254848c8550d6be2057d","1","No"
"0x2d2c027e0d1a899a1965910dd272bcae1cd03c22","1","No"
"0x2d641a220ee8189c8da63e120e04709d10671ac4","1","No"
"0x2d76259057223e13ca24b7fac86dafee3caa9ac2","1","No"
"0x2e0587dfc45e3e8286751a926d034705ffb7c3c5","1","No"
"0x2e285e94843a620a01a2462ab4b19a17b0847ddf","1","No"
"0x2eb0ecd53d562181b005ff8711152ca3a5cb8756","1","No"
"0x30021f41b54b36d9b7ac487c5545b015c3339de8","1","No"
"0x30c9ad297d5c624c5fec55b265c4431f8df1d72a","1","No"
"0x312dfde30b5aa1854a9ab023296261b4d25c4eae","1","No"
"0x31dca74fbfb341f876ea185855bbd03ded959ff1","1","No"
"0x32150b297b9cbf77badead446b76c3a83f1f0db6","1","No"
"0x32918dbb0dad6c0e92ebc72f024a61fb8507277e","1","No"
"0x32d1f3d77426a966907e3030e807778fd9d88a09","1","No"
"0x34ed38c093aecf3171fad6087afde559647ac4a6","1","No"
"0x374534de1dfd0b0f965600d887f452f7035ea08b","1","No"
"0x37f170e090b64bd277e604af359fb5b675ad10ce","1","No"
"0x38ea6cdd98e0d5fa0b0e4b2e321b27fd5da7bfa9","1","No"
"0x39470f90cb3b38e6bf4878f9b8f4e654e1641306","1","No"
"0x39b557a249706cac1dffe157ce5d25ff1791b56f","1","No"
"0x3abf901f3e0bd6b87a48b7ef9171d474364f1716","1","No"
"0x3b4e15ef7ee5ae55a101a749085c54f50756a5e7","1","No"
"0x3b88cf2f5d5952cc54acd8605c012f1c3ecb1f03","1","No"
"0x3bda56ef07bf6f996f8e3defddde6c8109b7e7be","1","No"
"0x3bdc18acd54a381ddcb252f294e3f92be6f54816","1","No"
"0x3d5c457920ff88a7a42d2af63d450e5f2da61d14","1","No"
"0x3dc8628d901a5791f9dba5d26f8a91a227ab9a9a","1","No"
"0x41285de3f6beaeb89427421a5b71c4fe26604c6b","1","No"
"0x420021031006f89ea584b01f7f5d41f8a3070b32","1","No"
"0x431077aacc91ef9cea1853dacfb0ed6a101dd45d","1","No"
"0x439001e00378ee142489f56c04895fac01dc0bb5","1","No"
"0x46c8558fcdc45f81f52a1687dd4cadd9997af34c","1","No"
"0x49e3cf47606a5da7b11b270a790e2112a467485f","1","No"
